city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
sj,1990,31,1990-07-30,0.0539,0.24715,0.3797,0.3813571,32.66,0.6710876219511566,0.6623089850965299,0.6974959647993231,1.4389099696800565,0.8425659315743484,34.6,0.4885411803385759,32.66,0.6923637219902574,0.2796808022746068,28.2428571429,8.08571428571,34.4,22.8,37.6,17
sj,1990,32,1990-08-06,0.075825,0.06433333,0.1644429,0.1388571,28.8,1.1204342585111635,1.1196985806404054,0.9309509527547289,1.0161697136609602,1.2419193936563269,20.0,0.21233012338231783,28.8,0.9251239353712916,-0.26517732586823933,28.2,7.55714285714,33.3,23.3,11.4,23
sj,1990,33,1990-08-13,0.062983335,0.1280333,0.2069571,0.1682429,90.75,0.7524557970104697,0.6684899254482388,1.257046809039017,1.1007177648647988,1.0023073164071308,101.9,1.551151301583361,90.75,1.2952968048502627,-1.2640838941442507,28.0428571429,6.68571428571,32.8,22.8,44.7,13
sj,1990,34,1990-08-20,0.1902333,0.1688,0.1676571,0.1722857,32.4,1.0706417938107966,1.0640701157445278,1.0578689424236973,1.0161697136609602,0.6828245467415662,25.9,0.5958158110033636,32.4,1.0718843912131308,0.06779153021670088,28.3428571429,7.01428571429,33.3,23.3,5.4,21
sj,1990,35,1990-08-27,0.2529,0.33075,0.2641714,0.2843143,40.94,0.8884742384945675,0.8971847227874906,1.245003495890404,0.762525560049493,1.162048701239913,39.8,1.3057711424256642,40.94,1.2952968048502627,-1.17327420611338,28.6571428571,6.52857142857,32.2,24.4,13.7,28
sj,1990,36,1990-09-03,0.2354,0.200025,0.2838167,0.2304429,28.86,1.2382359448036857,1.2556792709736244,0.6613660260018892,2.11529437931062,0.6029538543251524,30.4,-0.5200092844870224,28.86,0.6699290026179806,2.1564143547995944,28.3285714286,7.61428571429,32.8,23.3,14.2,24
sj,1990,37,1990-09-10,0.1279667,0.4371,0.1234,0.1482833,64.56,1.360895431970616,1.3916599613068437,1.3589517640063065,1.354361918476218,1.401660778489109,24.18,0.7744660817884895,64.56,1.466361539973896,0.945618514465677,28.6857142857,8.05714285714,33.9,24.4,25.9,20
sj,1990,38,1990-09-17,0.19635,0.1824333,0.2548286,0.3056857,143.73,0.6662298202266907,0.6190424017693434,0.865175935936431,0.33978530403039686,1.162048701239913,36.6,0.7998065457248221,143.73,0.8877327364611206,-1.5062430621983207,28.2428571429,8.11428571429,32.8,23.9,3.3,40
sj,1990,39,1990-09-24,0.1161,0.2609,0.1994429,0.2442167,51.39,1.1507955180138796,1.2247745683498559,0.6039286880659881,0.9316216624571219,1.481531470905523,16.4,-0.5567529572050494,51.39,0.6101030843355351,-0.4165268059126281,28.3428571429,7.72857142857,32.8,24.4,15.8,27
sj,1990,40,1990-10-01,0.22855,0.18975,0.2124857,0.2011857,31.18,1.4471214087543467,1.441107484985739,1.0161805512541833,1.6925541232915238,1.481531470905523,36.1,-0.12174165956732111,31.18,1.0756235110976031,0.945618514465677,28.7714285714,8.02857142857,33.3,23.9,11.7,42
sj,1990,41,1990-10-08,0.17115,0.06755,0.1794667,0.1577167,51.42,0.6662298202266907,0.6561280447448702,1.187566157954466,0.4243333552342353,0.6828245467415662,132.4,1.5308789304224726,51.42,1.2934272449407431,0.2494109062784422,28.6285714286,7.31428571429,33.3,24.4,57.7,33
sj,1990,42,1990-10-15,0.0161,0.0702,0.1816167,0.16575,143.55,0.10393929909862734,0.10602434219491301,0.9383622219357146,0.17068920162276802,0.20360039224317403,279.6,1.9777157778991277,143.55,1.0335584122827655,-1.2338139981268972,27.6285714286,7.4,32.8,23.3,61.8,43
sj,1990,43,1990-10-22,0.1462,0.08975,0.1288286,0.1239286,127.03,-0.1450230269535751,-0.1226704551443388,0.7521540768734606,-0.3365991056001666,-0.03601168500602207,94.52,1.9426614694691438,127.03,0.794254739087543,-1.3851634781712854,26.7714285714,7.62857142857,32.2,21.7,91.5,37
sj,1990,44,1990-10-29,0.25225,0.1834333,0.318,0.2959,101.35,0.5557148365208432,0.5139664140599421,0.9318773611591816,0.08614115041892957,1.0023073164071308,22.26,1.139791103593918,101.35,0.9802759538145062,-1.415433374188639,27.9714285714,8.64285714286,33.3,22.8,6.3,57
sj,1990,45,1990-11-05,0.1526,0.181775,0.1783286,0.1866286,20.46,0.7646003004715041,0.736480271047485,0.9513319434887804,0.762525560049493,1.0023073164071308,14.4,0.8230353043454434,20.46,1.0064497930712553,-0.14409774184120408,28.4714285714,8.42857142857,33.3,23.9,6.6,71
sj,1990,46,1990-11-12,0.2908,0.2246,0.1803857,0.2348857,20.0,1.0852151981340878,1.138241401695483,0.38251701261075305,0.8470736112533315,1.2419193936563269,7.1,-0.9469961018895781,20.0,0.3595820514214572,-0.5376063899396624,27.5428571429,8.6,32.8,22.2,38.9,44
sj,1990,47,1990-11-19,0.2722,0.33035,0.1316333,0.1253833,20.04,0.37233283034848075,0.39034760443009164,0.1805599201335959,0.2552372528266065,-0.19575306983880433,36.7,-0.23070565452014755,20.04,0.14177831764375293,0.15860121824757153,26.8,7.41428571429,31.7,22.2,9.6,56
sj,1990,48,1990-11-26,0.1367667,0.216525,0.1767857,0.1415857,33.61,-0.7097424489438955,-0.7963929673240974,-0.18537150986285839,-0.9284354640268915,-0.5951065319207827,44.3,0.7254745181743113,33.61,-0.21437285225208508,-0.9916548300728273,26.2,7.12857142857,31.1,20.6,26.7,53
sj,1990,49,1990-12-03,0.1098,0.0886,0.2667833,0.2517,9.96,-0.45106452029286764,-0.43171747878625466,-0.20389968313956205,-0.421147156803957,-0.43536514708800045,71.8,0.2887738562781002,9.96,-0.24522059141350333,-0.840305350028439,25.9857142857,5.54285714286,29.4,22.2,69.0,52
sj,1990,50,1990-12-10,0.12135,0.26166,0.1913857,0.2099857,0.0,-0.7401037084466117,-0.7840310857553571,-2.005764570612916,-0.5902432592115858,-0.9145893015863472,4.1,-3.0181566879599657,0.0,-1.9109985041015893,1.1272378905062295,24.6857142857,7.77142857143,29.4,19.4,2.8,47
sj,1990,51,1990-12-17,0.2931333,0.2668667,0.2608571,0.3027286,52.45,-0.6599499842435285,-0.6974979191010333,-0.34934584608523395,-0.3365991056001666,-0.9944599940027611,32.31,0.34029946629478275,52.45,-0.3807636875364852,0.8850787224521599,25.7142857143,6.58571428571,30.6,21.1,19.8,26
sj,1990,52,1990-12-24,0.3025,0.2772333,0.1712667,0.1616222,0.0,-0.8797655007990419,-0.950916478712394,-1.9399895537945817,-1.2666276688421492,-1.5535548409175217,5.46,-2.734765832912552,0.0,-1.8670638453117965,-0.35598701389911,25.1571428571,5.84285714286,28.9,21.1,20.9,27
sj,1991,1,1991-01-01,0.1465,0.1404667,0.1515,0.1673143,0.0,-1.7116640048832465,-1.7729815619287401,-2.068760360920934,-1.9430120784727125,-2.6717445347470883,4.8,-1.7718282031546106,0.0,-1.9792374421731773,0.15860121824757153,24.3857142857,7.45714285714,29.4,18.9,5.3,21
sj,1991,2,1991-01-08,0.09436667,0.1004667,0.2519,0.1376167,15.85,-1.189450345856725,-1.173430335699937,-1.1766287996203828,-1.6893679248612454,-1.1542013788355434,26.33,-0.6809212305137642,15.85,-1.2201961037274327,-1.2035441021307332,24.9142857143,6.31428571429,28.3,21.1,31.7,21
sj,1991,3,1991-01-15,0.03075,0.2935667,0.2599429,0.2179,0.0,-1.4031936106817453,-1.3217729076018963,-1.0923256095253813,-1.6893679248612454,-0.9145893015863472,27.4,-0.12765443448678251,0.0,-1.1370006860525148,-0.9613849340554742,25.2428571429,6.57142857143,29.4,21.1,16.5,26
sj,1991,4,1991-01-22,0.3313,0.3093333,0.2210286,0.2027571,0.0,-1.0109261414088284,-0.8952880146818389,-1.7602662695088607,-0.8438874128230531,-0.9944599940027611,0.7,-2.1684064638453977,0.0,-1.7389989889577604,0.21914101026108965,24.7142857143,7.77142857143,29.4,18.3,6.8,34
sj,1991,5,1991-01-29,0.0917,0.246425,0.2438571,0.1956,0.0,-0.8749076999246823,-0.8272976690825435,-1.6370539147546248,-1.0129835152306819,-1.7931669181667178,5.7,-2.113079784224961,0.0,-1.6305645120462875,0.673189450394254,24.8285714286,8.15714285714,30.0,18.9,5.9,37
sj,1991,6,1991-02-05,0.3801,0.2285667,0.2550429,0.2258,0.0,-1.1335856285757102,-1.086897169045613,-1.262784807172769,-1.3511757200459877,-1.7931669181667178,19.69,-0.927568412872711,0.0,-1.3052610813118701,-0.05328805381033343,25.0571428571,6.88571428571,30.0,20.6,7.3,17
sj,1991,7,1991-02-12,0.0712,0.2211,0.2762429,0.2673429,18.05,-1.8610414006846088,-1.7915243838491404,-1.377659483693087,-0.9284354640268915,-2.5120031499142605,21.4,-0.01066595929878336,18.05,-1.3585435397801284,1.581286330639395,25.1428571429,8.87142857143,32.2,18.9,5.6,19
sj,1991,8,1991-02-19,0.0478,0.2094,0.1084333,0.1194,0.0,-1.41048031326842,-1.3588585505773738,-0.9505850814944419,-1.0129835152306819,-1.1542013788355434,26.2,0.2389376105198963,0.0,-0.981827210486971,0.2494109062784422,25.8428571429,8.47142857143,32.2,20.0,17.8,25
sj,1991,9,1991-02-26,0.1702,0.2086,0.13752,0.1914333,31.79,-1.3327554890774393,-1.173430335699937,-1.0960312444401137,-1.2666276688421492,-1.1542013788355434,23.8,-0.28223126453683006,31.79,-1.1398050259822285,-0.7192257659802157,25.2571428571,7.2,30.6,20.0,30.7,18
sj,1991,10,1991-03-05,0.21075,0.2641,0.2476857,0.2163571,0.0,-1.1020099190669188,-0.9570974190640538,-1.0154336892598446,-0.8438874128230531,-0.6749772243371965,8.3,-0.4777751779363271,0.0,-1.0575443883275062,-0.4467967019087917,26.0142857143,8.31428571429,31.1,20.6,10.9,21
sj,1991,11,1991-03-12,0.0709,0.0797,0.21325,0.2405429,0.0,-1.3959069089451286,-1.3403157286569738,-1.1423516782803336,-1.0129835152306819,-1.234072071251957,13.37,-0.23450672409433743,0.0,-1.1444789258868977,0.5823797623633833,25.9285714286,8.97142857143,31.7,20.6,3.6,17
sj,1991,12,1991-03-19,0.1279,0.1784,0.1470143,0.1593,0.0,-1.4165525649989614,-1.3588585505773738,-1.1951569735455656,-0.7593393616192627,-1.4736841485011531,11.1,-0.3101057748461025,0.0,-1.1715875450984066,0.18887111426492506,26.0857142857,6.97142857143,32.2,21.1,5.7,17
sj,1991,13,1991-03-26,0.28035,0.223575,0.2478833,0.2473857,0.0,-1.3631167485801554,-1.2908682049780784,-0.8801780213569589,-0.25205105439632813,-1.234072071251957,21.26,0.31622602553013995,0.0,-0.9079795925559542,0.6429195543769005,26.0571428571,6.58571428571,32.2,22.2,26.9,16
sj,1991,14,1991-04-02,0.1691,0.216825,0.2605143,0.2219714,12.92,-1.7080206540149625,-1.7297149786015538,-1.6972704792008424,-1.604819873657455,-1.4736841485011531,20.9,-0.9664237909064493,12.92,-1.6651513710921795,-0.35598701389911,25.2428571429,6.81428571429,28.9,20.6,4.1,16
sj,1991,15,1991-04-09,0.1765,0.2763,0.1845333,0.1773667,6.0,-1.4456993736455441,-1.3217729076018963,-0.960775576537228,-1.7739159760650838,-1.0743306864191748,19.78,0.20599500740562368,6.0,-1.0098706096532397,0.3704904903054774,25.3,6.51428571429,28.9,21.1,18.8,15
sj,1991,16,1991-04-16,0.0774,0.1024,0.16355,0.2061667,44.57,-1.5209952969742675,-1.5504677049411482,-1.898301163273547,-2.0275601296765506,-0.9944599940027611,21.9,-1.6497716351911673,44.57,-1.8343465462408586,-0.9311150380381207,25.5142857143,6.27142857143,29.4,21.1,19.4,23
sj,1991,17,1991-04-23,0.07295,0.18845,0.1883143,0.2249429,32.72,-0.8494042421464321,-0.8211167287308346,-0.6930434672417729,-1.4357237712497781,-0.43536514708800045,19.7,-0.14328105392945964,32.72,-0.7032627784066233,-0.32571711788175745,26.5285714286,8.01428571429,32.8,21.7,3.5,16
sj,1991,18,1991-04-30,0.2091667,0.160575,0.1761714,0.1761714,0.0,-0.20574554595905561,-0.09794669373755237,-0.08254014584267398,-0.25205105439632813,-0.1158823774223905,8.38,0.1265948870501085,0.0,-0.14519913422573727,0.7337292424077712,27.3142857143,7.71428571429,32.2,22.8,2.8,17
sj,1991,19,1991-05-07,0.11595,0.180175,0.1063857,0.1111857,35.38,-0.3696963452335545,-0.4008127770278085,-0.18444510080996332,-0.3365991056001666,-0.03601168500602207,20.6,0.18023220238250232,35.38,-0.2293293318554126,-0.083557949806498,26.9285714286,6.92857142857,31.7,22.8,40.2,12
sj,1991,20,1991-05-14,0.0865,0.10455,0.15115,0.0964,4.16,-0.6356609764713054,-0.6727741576942469,-0.3104366814259996,-1.0129835152306819,-0.5152358395043689,35.37,0.33565371454700693,4.16,-0.3676767679081094,0.0980614262340544,26.5285714286,6.58571428571,30.6,22.8,32.8,17
sj,1991,21,1991-05-21,0.0669,0.1335667,0.09711667,0.1356,51.16,-0.4158454599157919,-0.6295075743670604,0.01751199166719384,-0.7593393616192627,-0.19575306983880433,59.3,0.7005563952952072,51.16,-0.02274295773112771,-1.2640838941442507,27.3857142857,6.7,31.7,22.8,3.6,10
sj,1991,22,1991-05-28,0.1401,0.1594667,0.2143167,0.2571,55.37,-0.2251767511567066,-0.2586511454775579,0.11478490331526119,-0.16750300319248967,0.04385900741039176,43.4,0.6376275765263948,55.37,0.07166981959720846,-0.6586859739666977,27.9428571429,7.01428571429,33.3,23.3,5.6,15
sj,1991,23,1991-06-04,0.08585,0.087,0.1196,0.1659286,8.08,0.37840508292912833,0.4892426517878332,-0.11125881481064297,0.2552372528266065,0.12372969982676019,5.0,-0.8447895640002344,8.08,-0.13865567441154877,0.8850787224521599,28.0714285714,7.5,33.3,23.3,20.6,19
sj,1991,24,1991-06-11,0.1091,0.1564667,0.1734286,0.1739714,6.09,0.6953766288732735,0.7673849728059804,0.25652543199467986,0.4243333552342353,0.9224366239907169,5.82,-0.5605540268088036,6.09,0.22684329522818916,-0.11382784582385151,28.2285714286,7.97142857143,33.9,23.9,9.4,21
sj,1991,25,1991-06-18,0.0596,0.09235,0.1301286,0.1306429,44.25,0.5970061494785665,0.6808518061516075,0.7799463374369768,0.5088814064380257,0.9224366239907169,17.0,0.7360330448119841,44.25,0.764341779946319,-0.5981461819531805,28.9285714286,7.14285714286,33.9,25.0,3.3,14
sj,1991,26,1991-06-25,0.07965,0.122,0.1851143,0.1582429,73.76,0.2861068544148563,0.2543669140968725,0.733625903596757,1.0161697136609602,0.3633417770759563,37.8,1.1275432126977667,73.76,0.7147984413625343,-0.8705752460246036,27.9142857143,7.4,32.8,22.8,12.4,18
sj,1991,27,1991-07-02,0.0812,0.1779333,0.2015286,0.1981571,26.7,0.2533166940498831,0.17401468779420842,0.5501969843963034,0.9316216624571219,0.12372969982676019,51.99,0.8167001883687492,26.7,0.5343859064949987,-0.6586859739666977,28.3714285714,6.6,32.8,23.9,24.7,13
sj,1991,28,1991-07-09,0.0969,0.08030000000000001,0.13805,0.1679167,6.13,0.7888893073936208,0.8539181394603041,0.4501448462379195,0.6779775088457026,0.5230831619087386,18.7,-0.3117951391341455,6.13,0.40258193019105576,-0.05328805381033343,28.4142857143,6.67142857143,32.8,24.4,4.6,14
sj,1991,29,1991-07-16,0.112,0.07733333,0.09982857,0.1166429,29.67,0.9868447178892745,1.0022607113622637,0.6382058087575581,0.762525560049493,1.0821780088235446,23.6,-0.2040981673825691,29.67,0.6129074242652488,-0.05328805381033343,28.8,6.91428571429,33.9,23.9,12.2,18
sj,1991,30,1991-07-23,0.0801,0.00805,0.1380333,0.1290667,56.58,0.6249385081190737,0.6870327473686388,0.8012537372239602,0.6779775088457026,0.7626952391579347,27.4,0.7541937106571655,56.58,0.7839721593888822,-0.4467967019087917,28.0,5.88571428571,32.8,24.4,43.1,23
sj,1991,31,1991-07-30,0.0539,0.11410000000000001,0.1906429,0.1593286,48.41,0.6625864693584065,0.6746708657999477,0.895747423010227,0.5934294576418642,0.8425659315743484,34.39,0.876672619677833,48.41,0.8783849367172206,-0.32571711788175745,28.5714285714,6.34285714286,33.3,25.0,18.0,25
sj,1991,32,1991-08-06,0.07315,0.1124,0.1925857,0.2093571,13.29,0.6443697133167247,0.5881376991455748,0.8892625622336942,0.4243333552342353,0.6828245467415662,31.5,0.8952556265802429,13.29,0.88960229637064,-0.4467967019087917,28.5,6.51428571429,32.8,24.4,12.5,62
sj,1991,33,1991-08-13,0.0593,0.0802,0.1551,0.1567,0.0,1.1447232662833866,1.2680411516769932,0.8994530572764803,1.2698138672724275,1.162048701239913,20.4,0.07844800555038733,0.0,0.8998848760693009,-0.5678762859570159,29.4285714286,5.47142857143,33.3,25.6,3.3,60
sj,1991,34,1991-08-20,0.0569,0.09814,0.1285143,0.1437286,51.88,1.0524250377691147,1.0393463543377413,0.9624488475844984,1.1007177648647988,0.8425659315743484,25.47,0.3914027352246723,51.88,0.9653194742111764,-0.11382784582385151,29.2714285714,7.51428571429,34.4,24.4,1.5,76
sj,1991,35,1991-08-27,0.0693,0.05705,0.22504,0.1864,55.2,0.8872597876383859,0.8786419017324131,1.0198861861689157,0.8470736112533315,1.0821780088235446,23.8,0.787136313771438,55.2,1.017667152724677,-0.17436763783736867,28.1571428571,7.0,32.2,23.9,10.7,66
sj,1991,36,1991-09-03,0.10805,0.091675,0.1398,0.1624143,65.9,0.8775441850396087,0.8353753184052266,1.1032629678594645,0.8470736112533315,0.9224366239907169,42.33,0.9987291876708407,65.9,1.129840749586057,-0.6889558699840511,28.9428571429,7.54285714286,34.4,24.4,27.2,64
sj,1991,37,1991-09-10,0.10475,0.1598333,0.11208,0.1446429,33.56,1.2467370973964842,1.2556792709736244,0.8781456574894969,1.2698138672724275,1.162048701239913,11.4,-0.09006607965429854,33.56,0.88960229637064,1.2483174745544536,28.9714285714,7.7,33.9,23.3,61.0,68
sj,1991,38,1991-09-17,0.1098,0.1527333,0.1685714,0.1688714,29.53,1.235807043941477,1.2247745683498559,1.1699643924337357,1.4389099696800565,1.2419193936563269,28.8,0.5751210987852423,29.53,1.2195796270097263,0.007251738203183726,28.9142857143,6.8,33.3,24.4,7.9,89
sj,1991,39,1991-09-24,0.1676,0.1489,0.1714286,0.2181429,73.55,0.8386817729440942,0.7488421517509029,0.9680072999565786,0.9316216624571219,0.7626952391579347,77.5,0.7368777269560055,73.55,0.9868194136286924,-0.8100354540110865,28.1428571429,6.68571428571,32.8,24.4,31.8,92
sj,1991,40,1991-10-01,0.1291,0.16672,0.177,0.1955571,31.68,0.490134516641003,0.439795128108987,0.842942127744995,0.2552372528266065,0.8425659315743484,60.0,1.0506771387447518,31.68,0.8596893372294184,-0.8705752460246036,27.7428571429,6.91428571429,32.8,23.3,26.5,140
sj,1991,41,1991-10-08,0.093,0.093,0.1450833,0.1681667,32.1,0.41605304416841277,0.4212523061885378,0.5122142281415217,0.5934294576418642,0.28347108465958787,55.1,0.46826880917768743,32.1,0.5287772266355711,-0.4165268059126281,27.6571428571,6.61428571429,31.7,22.8,8.3,116
sj,1991,42,1991-10-15,0.0137,0.12886,0.1090429,0.1070286,3.29,0.7002344305977393,0.637585222824421,0.5974438272894552,0.5934294576418642,0.6828245467415662,31.19,0.1333523441135914,3.29,0.5857988049883053,-0.32571711788175745,28.5428571429,7.62857142857,33.9,24.4,21.3,142
sj,1991,43,1991-10-22,0.1944,0.1186,0.1808143,0.1998714,50.24,0.6953766288732735,0.6993946280720075,0.23243880634589603,0.5934294576418642,0.6029538543251524,12.6,-0.636997759704586,50.24,0.20534335581067314,0.7639991384251247,27.8285714286,7.08571428571,32.8,23.3,3.5,129
sj,1991,44,1991-10-29,0.094,0.09665,0.1255667,0.1213167,72.61,0.707521133184414,0.6993946280720075,0.5325952195240524,0.9316216624571219,0.6828245467415662,26.83,0.016363868896027825,72.61,0.5493423860328928,1.2483174745544536,28.1142857143,7.25714285714,32.8,24.4,4.8,140
sj,1991,45,1991-11-05,0.0544,0.05475,0.1121333,0.1193857,42.92,0.0140699714465641,0.08130058078817577,0.30469868329228444,1.1007177648647988,0.04385900741039176,74.83,0.6287584141472006,42.92,0.281995313605968,0.945618514465677,27.1857142857,6.75714285714,32.2,22.8,41.4,140
sj,1991,46,1991-11-12,0.0954,0.1114,0.1949429,0.1980571,78.73,-0.3296194831320129,-0.34518431213193085,0.33619657877053316,-0.25205105439632813,0.12372969982676019,72.7,1.3547627060398466,78.73,0.34369079186336876,-1.0219247260689917,26.6571428571,6.74285714286,31.1,22.2,28.2,127
sj,1991,47,1991-11-19,0.00825,0.028425,0.1387429,0.1796429,0.0,-0.31868942967700575,-0.4131746577311771,-0.6921170588373571,-0.421147156803957,-0.1158823774223905,15.1,-1.0002110761647434,0.0,-0.7041975583613831,-0.3862569098952746,26.3142857143,6.81428571429,30.0,22.2,9.4,129
sj,1991,48,1991-11-26,0.08786667,0.1519,0.1796286,0.1661857,35.34,-0.5931552135075067,-0.5924219313915828,-0.10292113657676229,-0.16750300319248967,-0.2756237622552182,78.43,0.7550383927716225,35.34,-0.13959045436630968,-0.9008451420419571,26.2714285714,6.58571428571,30.0,22.2,76.2,169
sj,1991,49,1991-12-03,0.0802,0.14025,0.1336286,0.1344571,0.0,-0.3660529943652703,-0.29573678845303547,-0.0797609199808735,-0.6747913104154243,0.3633417770759563,35.1,0.3973155101441379,0.0,-0.12837309471288796,-1.3851634781712854,26.7285714286,6.05714285714,30.6,23.3,19.6,141
sj,1991,50,1991-12-10,-0.02665,0.2128,0.2224143,0.2289429,0.0,-0.47171017634665197,-0.5120697050889187,-0.37806451570168215,-0.9284354640268915,0.04385900741039176,26.8,-0.09175544391277712,0.0,-0.4265679062357964,-0.9311150380381207,25.6142857143,5.85714285714,29.4,21.7,34.2,108
sj,1991,51,1991-12-17,-0.00042500000000000003,0.04613333,0.1144,0.04045714,0.0,-0.840903089553682,-0.9076498953852076,-1.4471401347776383,-1.4357237712497781,-0.5152358395043689,8.76,-1.7946346207180035,0.0,-1.4398693974800922,-0.8100354540110865,25.0,6.15714285714,28.9,20.6,6.1,78
sj,1991,52,1991-12-24,0.12355,0.1237,0.1379333,0.1297556,0.0,-2.16951179488611,-2.3169043241269396,-1.978898718453816,-1.7739159760650838,-2.352261765081478,19.3,-0.8291629445871218,0.0,-1.8979115844732135,-0.5073364939223098,24.3571428571,6.18571428571,28.3,19.4,13.7,70
sj,1992,1,1992-01-01,0.1251,0.1578667,0.1852833,0.1813667,0.0,-0.7782374503684693,-0.8174081646929033,-0.49479200954967445,-0.9622546845084078,-0.7069255013037349,17.72,0.1824283759392196,0.0,-0.5363110751362808,-1.118788393303333,25.5,6.74285714286,29.4,21.1,25.7,81
sj,1992,2,1992-01-08,0.1008333,0.073575,0.1387143,0.1127857,200.85,-0.9866371336366053,-0.9200117769538987,-0.41512086290353184,-0.7593393616192627,-0.9145893015863472,18.3,0.7001340542379786,200.85,-0.4303070261202699,-0.32571711788175745,25.6571428571,7.5,30.6,20.6,58.2,104
